Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2024-01-01T00:00:00,1,4.83,0.82,0
2024-01-01T00:05:00,1,4.83,0.82,0
2024-01-01T00:10:00,1,4.82,0.82,0
2024-01-01T00:15:00,1,4.82,0.82,0
2024-01-01T00:20:00,1,4.81,0.82,0
2024-01-01T00:25:00,1,4.81,0.82,0
2024-01-01T00:30:00,1,4.8,0.82,0
2024-01-01T00:35:00,1,4.8,0.82,0
2024-01-01T00:40:00,1,4.8,0.82,0
2024-01-01T00:45:00,1,4.79,0.82,0
2024-01-01T00:50:00,1,4.79,0.82,0
2024-01-01T00:55:00,1,4.78,0.82,0
2024-01-01T01:00:00,1,4.78,0.82,0
2024-01-01T01:05:00,1,4.78,0.82,0
2024-01-01T01:10:00,1,4.78,0.82,0
2024-01-01T01:15:00,1,4.78,0.82,0
2024-01-01T01:20:00,1,4.78,0.82,0
2024-01-01T01:25:00,1,4.78,0.82,0
2024-01-01T01:30:00,1,4.78,0.82,0
2024-01-01T01:35:00,1,4.78,0.82,0
2024-01-01T01:40:00,1,4.78,0.82,0
2024-01-01T01:45:00,1,4.78,0.82,0
2024-01-01T01:50:00,1,4.78,0.82,0
2024-01-01T01:55:00,1,4.78,0.82,0
2024-01-01T02:00:00,1,4.78,0.82,0
2024-01-01T02:05:00,1.01,4.78,0.82,0
2024-01-01T02:10:00,1.02,4.77,0.82,0
2024-01-01T02:15:00,1.02,4.77,0.82,0
2024-01-01T02:20:00,1.03,4.77,0.82,0
2024-01-01T02:25:00,1.04,4.77,0.82,0
2024-01-01T02:30:00,1.05,4.77,0.82,0
2024-01-01T02:35:00,1.06,4.77,0.82,0
2024-01-01T02:40:00,1.07,4.76,0.82,0
2024-01-01T02:45:00,1.08,4.76,0.82,0
2024-01-01T02:50:00,1.08,4.76,0.82,0
2024-01-01T02:55:00,1.09,4.76,0.82,0
2024-01-01T03:00:00,1.1,4.76,0.82,0
2024-01-01T03:05:00,1.1,4.75,0.82,0
2024-01-01T03:10:00,1.1,4.75,0.82,0
2024-01-01T03:15:00,1.1,4.75,0.82,0
2024-01-01T03:20:00,1.1,4.74,0.82,0
2024-01-01T03:25:00,1.1,4.74,0.82,0
2024-01-01T03:30:00,1.1,4.73,0.82,0
2024-01-01T03:35:00,1.1,4.73,0.82,0
2024-01-01T03:40:00,1.1,4.72,0.82,0
2024-01-01T03:45:00,1.1,4.72,0.82,0
2024-01-01T03:50:00,1.1,4.71,0.82,0
2024-01-01T03:55:00,1.1,4.71,0.82,0
2024-01-01T04:00:00,1.1,4.71,0.82,0
2024-01-01T04:05:00,1.09,4.7,0.82,0
2024-01-01T04:10:00,1.08,4.69,0.82,0
2024-01-01T04:15:00,1.08,4.68,0.82,0
